localisation\russian\KR_country_specific\PIR - Piratini l_russian.yml

l_russian:

 piratini_focus: "Piratini Focus Tree"
### Focuses ###
 punjab_focus: "Punjab Focus Tree"

 PJB_nation_of_the_kirti: "Nation of the Kirti"
 PJB_destruction_of_punjabi_feudalism: "Destruction of [PJB.GetAdjective] Feudalism"
 PJB_kissan_autonomy: "Kissan Autonomy"
 PJB_founding_the_punjab_trade_union_congress: "Founding the [PJB_getshortname] Trade Union Congress"
 PJB_guarantee_adult_suffrage: "Guarantee Adult Suffrage"
 PJB_fight_against_national_inequality: "Fight Against National Inequality"
 PJB_sovereignty_of_the_people: "Sovereignty of the People"

 PJB_towards_a_democratic_punjab: "Towards a Democratic [PJB_getshortname]"
 PJB_foundations_of_islamic_democracy: "Foundations of Islamic Democracy"
 PJB_reinforcement_of_parliamentarism: "Reinforcement of Parliamentarism"
 PJB_unity_through_urdu: "Unity Through Urdu"
 PJB_protection_of_minority_rights: "Protection of Minority Rights"
 PJB_formulating_a_planned_economy: "Formulating a Planned Economy"

 PJB_governance_of_the_league: "Governance of the League"
 PJB_expansion_of_female_suffrage: "Expansion of Female Suffrage"
 PJB_the_state_socialist_model: "The State Socialist Model"
 PJB_aristocratic_civil_service: "Aristocratic Civil Service"
 PJB_a_union_of_nations: "A Union of Nations"
 PJB_the_battle_against_partisanship: "The Battle Against Partisanship"
 PJB_the_guiding_hand: "The Guiding Hand"

 PJB_rule_by_the_rod: "Rule by the Rod"
 PJB_initiate_land_reform_efforts: "Initiate Land Reform Efforts"
 PJB_the_punjabi_industrialisation_plan: "The [PJB.GetAdjective] Industrialisation Plan"
 PJB_the_kissan_connection: "The Kissan Connection"
 PJB_consolidate_power_in_the_executive: "Consolidate Power in the Executive"
 PJB_reinforce_officer_loyalty: "Reinforce Officer Loyalty"

 PJB_the_islamic_revolution: "The Islamic Revolution"
 PJB_suppression_of_democratic_ideals: "Suppression of Democratic Ideals"
 PJB_no_law_above_sharia: "No Law Above Sharia"
 PJB_islamic_economic_solution: "Islamic Economic Solution"
 PJB_enforcing_islamic_purity: "Enforcing Islamic Purity"
 PJB_reversal_of_destructive_immorality: "Reversal of Destructive Immorality"
 PJB_declare_universal_jihad: "Declare Universal Jihad"

 PJB_status_of_the_provinces: "Status of the Provinces"
 PJB_nurturing_the_heartlands: "Nurturing the Heartlands"
 PJB_assert_authority_over_eastern_punjab: "Assert Authority Over Eastern Punjab"
 PJB_forging_a_new_identity: "Forging a New Identity"
 PJB_combatting_pashtun_separatism: "Combatting Pashtun Separatism"
 PJB_resettling_indian_refugees: "Resettling Indian Refugees"
 PJB_our_port_to_the_world: "Our Port to the World"
 PJB_building_a_new_navy: "Building a New Navy"
 PJB_piecing_together_an_admiralty: "Piecing Together an Admiralty"
 PJB_prioritise_warships_in_karachi: "Prioritise Warships in Karachi"
 PJB_working_with_the_princes: "Working with the Princes"
 PJB_an_end_to_the_old_order: "An End to the Old Order"

 PJB_filling_the_officer_void: "Filling the Officer Void"
 PJB_emergency_expansion_of_armament_production: "Emergency Expansion of Armament Production"
 PJB_integration_of_tribal_lashkars: "Integration of Tribal Lashkars"
 PJB_birth_of_the_punjab_army: "Birth of the [PJB_getshortname] Army"
 PJB_utilising_the_natural_forts: "Utilising the Natural Forts"
 PJB_defenders_of_islam: "Defenders of Islam"
 PJB_developing_the_riposte_strategy: "Developing the Riposte Strategy"
 PJB_refinement_of_military_exercises: "Refinement of Military Exercises"
 PJB_establishing_an_armoured_corp: "Establishing an Armoured Corp"
 PJB_found_the_rawalpindi_military_college: "Found the Rawalpindi Military College"
 PJB_all_lie_under_our_wings: "All Lie Under Our Wings"
 PJB_bolster_our_aerial_stockpiles: "Bolster Our Aerial Stockpiles"
 PJB_risalpur_flying_training_school: "Risalpur Flying Training School"

### Ideas ###
 PJB_uniting_the_kirti: "Uniting the Kirti"
 PJB_kissan_autonomy_idea: "Kissan Autonomy"
 PJB_islamic_democracy_idea: "Islamic Democracy"
 PJB_planned_economy_idea: "Planned Economy"
 PJB_from_aligarh_to_tomorrow: "From Aligarh to Tomorrow"
 PJB_state_socialism_idea: "State Socialism"
 PJB_unity_through_order: "Unity Through Order"
 PJB_punjabi_industrialisation_plan_idea: "[PJB.GetAdjective] Industrialisation Plan"
 PJB_islamic_revolution_idea: "Islamic Revolution"
 PJB_islamic_economic_solution_idea: "Islamic Economic Solution"

 PJB_emergence_of_a_new_state: "Emergence of a New State"
 PJB_birth_of_the_pakistani_nation: "Birth of the Pakistani Nation"
 PJB_resettling_indian_muslims: "Resettling Indian Muslims"

 PJB_pakistan_navy_idea: "The Pakistan Navy"
 PJB_ittehad_yaqeen_tanzeem: "Ittehad, Yaqeen, Tazeem"
 PJB_all_lie_under_our_wings_idea: "All Lie Under Our Wings"

localisation\russian\KR_country_specific\PNG - Papua l_russian.yml

l_russian:

### Parties ###
 PNG_totalist_party: "Committee of Thirteen"
 PNG_totalist_party_long: "Committee of Thirteen\n\n§LThe Committee of Thirteen is a relatively disjointed political body that has rallied behind the native trade unionist Sumsuma of Boang Island, King of the Tanga people, promoting his ideas of a \"national union\" between all races of Papua and New Guinea. It is generally made up of natives who have been educated at mission schools or who have simply worked their way up through the labour movement to gain political significance. As such, the Committee's rhetoric is generally tinged with Christian appeals to universal human brotherhood and a strong emphasis on equality and workers rights. Though few, if any of the members of the group have ever read socialist theory, they have maintained connections to the American International Longshore and Warehouse Union and understand some elements of vulgar Marxism. The Committee favours that Papua and New Guinea should be governed by federal means, where each ethnic group and clan has a degree of autonomy to pursue their own ways of life.§!\n"
 PNG_syndicalist_party: "Committee of Thirteen"
 PNG_syndicalist_party_long: "Committee of Thirteen\n\n§LThe Committee of Thirteen is a relatively disjointed political body that has rallied behind the native trade unionist Sumsuma of Boang Island, King of the Tanga people, promoting his ideas of a \"national union\" between all races of Papua and New Guinea. It is generally made up of natives who have been educated at mission schools or who have simply worked their way up through the labour movement to gain political significance. As such, the Committee's rhetoric is generally tinged with Christian appeals to universal human brotherhood and a strong emphasis on equality and workers rights. Though few, if any of the members of the group have ever read socialist theory, they have maintained connections to the American International Longshore and Warehouse Union and understand some elements of vulgar Marxism. The Committee favours that Papua and New Guinea should be governed by federal means, where each ethnic group and clan has a degree of autonomy to pursue their own ways of life.§!\n"
 PNG_radical_socialist_party: "Committee of Thirteen"
 PNG_radical_socialist_party_long: "Committee of Thirteen\n\n§LThe Committee of Thirteen is a relatively disjointed political body that has rallied behind the native trade unionist Sumsuma of Boang Island, King of the Tanga people, promoting his ideas of a \"national union\" between all races of Papua and New Guinea. It is generally made up of natives who have been educated at mission schools or who have simply worked their way up through the labour movement to gain political significance. As such, the Committee's rhetoric is generally tinged with Christian appeals to universal human brotherhood and a strong emphasis on equality and workers rights. Though few, if any of the members of the group have ever read socialist theory, they have maintained connections to the American International Longshore and Warehouse Union and understand some elements of vulgar Marxism. The Committee favours that Papua and New Guinea should be governed by federal means, where each ethnic group and clan has a degree of autonomy to pursue their own ways of life.§!\n"
 PNG_social_democrat_party: "Mixed Race Associations"
 PNG_social_democrat_party_long: "Mixed Race Associations\n\n§LThe Mixed Race Associations represent a network of social clubs and political groups whose ranks are primarily drawn from the mixed race Melanesian middle class. Though not exclusively mixed race, their members tend to be those inhabitants of Papua and New Guinea who have grown up with relative privilege and been able to gain modern, western education in Australia or Europe. They also represent many of the more affluent churches in Papua and New Guinea, promoting Christian charity and social equality, in a way that is nevertheless somewhat paternal. Its native members such as the Associations' current key figurehead, Paliau Maloat, generally gained their political influence through rising up the ranks of the Civil Service and serving as colonial Askari. The Associations promote the idea of a unified Papua and New Guinea, with a strong central government, favouring tools such as Christianity and the local Pidgin languages to promote social cohesion between the many different ethnic groups and clans.§!\n"
 PNG_social_conservative_party: "Mixed Race Associations"
 PNG_social_conservative_party_long: "Mixed Race Associations\n\n§LThe Mixed Race Associations represent a network of social clubs and political groups whose ranks are primarily drawn from the mixed race Melanesian middle class. Though not exclusively mixed race, their members tend to be those inhabitants of Papua and New Guinea who have grown up with relative privilege and been able to gain modern, western education in Australia or Europe. They also represent many of the more affluent churches in Papua and New Guinea, promoting Christian charity and social equality, in a way that is nevertheless somewhat paternal. Its native members such as the Associations' current key figurehead, Paliau Maloat, generally gained their political influence through rising up the ranks of the Civil Service and serving as colonial Askari. The Associations promote the idea of a unified Papua and New Guinea, with a strong central government, favouring tools such as Christianity and the local Pidgin languages to promote social cohesion between the many different ethnic groups and clans.§!\n"
 PNG_social_liberal_party: "Mixed Race Associations"
 PNG_social_liberal_party_long: "Mixed Race Associations\n\n§LThe Mixed Race Associations represent a network of social clubs and political groups whose ranks are primarily drawn from the mixed race Melanesian middle class. Though not exclusively mixed race, their members tend to be those inhabitants of Papua and New Guinea who have grown up with relative privilege and been able to gain modern, western education in Australia or Europe. They also represent many of the more affluent churches in Papua and New Guinea, promoting Christian charity and social equality, in a way that is nevertheless somewhat paternal. Its native members such as the Associations' current key figurehead, Paliau Maloat, generally gained their political influence through rising up the ranks of the Civil Service and serving as colonial Askari. The Associations promote the idea of a unified Papua and New Guinea, with a strong central government, favouring tools such as Christianity and the local Pidgin languages to promote social cohesion between the many different ethnic groups and clans.§!\n"
 PNG_market_liberal_party: "Mixed Race Associations"
 PNG_market_liberal_party_long: "Mixed Race Associations\n\n§LThe Mixed Race Associations represent a network of social clubs and political groups whose ranks are primarily drawn from the mixed race Melanesian middle class. Though not exclusively mixed race, their members tend to be those inhabitants of Papua and New Guinea who have grown up with relative privilege and been able to gain modern, western education in Australia or Europe. They also represent many of the more affluent churches in Papua and New Guinea, promoting Christian charity and social equality, in a way that is nevertheless somewhat paternal. Its native members such as the Associations' current key figurehead, Paliau Maloat, generally gained their political influence through rising up the ranks of the Civil Service and serving as colonial Askari. The Associations promote the idea of a unified Papua and New Guinea, with a strong central government, favouring tools such as Christianity and the local Pidgin languages to promote social cohesion between the many different ethnic groups and clans.§!\n"
 PNG_authoritarian_democrat_party: "Fifth Cargo Belief"
 PNG_authoritarian_democrat_party_long: "Fifth Cargo Belief\n\n§LThe Fifth Cargo Belief is the common term used to describe a religious and political movement led by the Prophet Gurek and his most notable disciple, Yali, whose influence is so overpowering that it has sometimes been dubbed simply \"The Yali Movement\". At its core, the Fifth Cargo Belief is similar to what one would call a \"Cargo Cult\", it believes that through worship and ritual its adherents can accumulate material goods that will benefit them, and these material goods are then in and of themself worshipped as being gifts from a higher power. Where the Fifth Cargo Belief differs is its heavy reliance on \"teaching\", men such as Gurek and Yali have gained renown not just by bestowing physical material goods, but also by instructing the various tribes and clans they have visited in how to improve their farming and hygiene, as well as how to best defy the German colonial oppressors. The cults leaders frequently travel around, keeping an \"itinerant court\" of sorts, consisting of helpers and wives that the leaders recruit from the villages they visit. The Fifth Cargo Belief claims that the people of Papua and New Guinea must materially enrich themselves in order to grow powerful, after which they will be able to forge an independent nation that can stand on the world stage, free of imperialist control, but they specify very little of what this nation will look like.§!\n"
 PNG_paternal_autocrat_party: "Fifth Cargo Belief"
 PNG_paternal_autocrat_party_long: "Fifth Cargo Belief\n\n§LThe Fifth Cargo Belief is the common term used to describe a religious and political movement led by the Prophet Gurek and his most notable disciple, Yali, whose influence is so overpowering that it has sometimes been dubbed simply \"The Yali Movement\". At its core, the Fifth Cargo Belief is similar to what one would call a \"Cargo Cult\", it believes that through worship and ritual its adherents can accumulate material goods that will benefit them, and these material goods are then in and of themself worshipped as being gifts from a higher power. Where the Fifth Cargo Belief differs is its heavy reliance on \"teaching\", men such as Gurek and Yali have gained renown not just by bestowing physical material goods, but also by instructing the various tribes and clans they have visited in how to improve their farming and hygiene, as well as how to best defy the German colonial oppressors. The cults leaders frequently travel around, keeping an \"itinerant court\" of sorts, consisting of helpers and wives that the leaders recruit from the villages they visit. The Fifth Cargo Belief claims that the people of Papua and New Guinea must materially enrich themselves in order to grow powerful, after which they will be able to forge an independent nation that can stand on the world stage, free of imperialist control, but they specify very little of what this nation will look like.§!\n"
 PNG_national_populist_party: "Fifth Cargo Belief"
 PNG_national_populist_party_long: "Fifth Cargo Belief\n\n§LThe Fifth Cargo Belief is the common term used to describe a religious and political movement led by the Prophet Gurek and his most notable disciple, Yali, whose influence is so overpowering that it has sometimes been dubbed simply \"The Yali Movement\". At its core, the Fifth Cargo Belief is similar to what one would call a \"Cargo Cult\", it believes that through worship and ritual its adherents can accumulate material goods that will benefit them, and these material goods are then in and of themself worshipped as being gifts from a higher power. Where the Fifth Cargo Belief differs is its heavy reliance on \"teaching\", men such as Gurek and Yali have gained renown not just by bestowing physical material goods, but also by instructing the various tribes and clans they have visited in how to improve their farming and hygiene, as well as how to best defy the German colonial oppressors. The cults leaders frequently travel around, keeping an \"itinerant court\" of sorts, consisting of helpers and wives that the leaders recruit from the villages they visit. The Fifth Cargo Belief claims that the people of Papua and New Guinea must materially enrich themselves in order to grow powerful, after which they will be able to forge an independent nation that can stand on the world stage, free of imperialist control, but they specify very little of what this nation will look like.§!\n"

### Country Names ###
 PNG: "Papua"
 PNG_ADJ: "Papuan"
 PNG_DEF: "Papua"

### Country leaders ###
 PNG_sumsuma: "Sumsuma"
 PNG_sumsuma_leader_desc: "§YBorn:§! §L1903, in Sasa, Boang Island, German New Guinea§!\n§YBackground:§! §LAn ethnic Tanga, Sumsuma's Filamat clan was one of many coaxed down from the highlands to settle on the coast, where the Germans could more easily tax them. His childhood was troubled, with his father living on another island and his mother often beating him. At age 10 he ran away to enlist on a ship, later finding refuge at a Methodist mission in Neumecklenburg. There he learned German and read the Bible, before returning to the sea.\n\nThroughout the 1910s he worked on cargo boats in Rabaul, gaining the nickname Tolimlimbur (Wanderer) for his travels between the islands. Sumsuma was likely the highest paid native in all of New Guinea, a cunning negotiator adept at rising through the white man's world. But shamed by the rampant inequality he profited from and influenced by the American ILWU and sympathetic Afro-American sailors, in December 1928 Sumsuma summoned his comrades to strike for equal wages so that every man could be as rich as him.\n\nMost natives had no experience with organising, but Sumsuma took cues from prior successful strikes on the ship Ralum and the island of Samarai. He sent messages to every group of workers in Rabaul, from sailors to bookbinders to policemen, inviting them to meetings at the local Christian missions. He spoke to crowds of thousands and told them not to return to work, marking the beginning of the strike. Out of practically nothing, Sumsuma managed to build class consciousness and rallying the disparate New Guinean clans against the white bosses.\n\nFaced with violence by the police and Schutztruppe sent by the hostile \"Citizen's Committee\", Sumsuma and his comrades were imprisoned and tortured for several years. Released home to Boang, he was shaken but not hopeless. He set about trying to rebuild his movement, creating agricultural cooperatives among the Tanga and earning the respect of local \"luluais\" (Chieftains).\n\nIn the power vacuum that formed after New Guinea's liberation, the lulais elected Sumsuma as \"King of the Tanga\", a position he utilised to establish ties with various Christian groups and workers' associations. In time, these coalesced into the \"Committee of Thirteen\", consisting of Sumsuma's older allies as well as a younger generation keen on supporting his \"national union\" between all ethnic groups across the islands.§!"

 PNG_bohun: "Bohun" # AI-only, no need for DOBs

